ano,campus,curso,entradas_vest,entradas_sisu,entradas_provare,evasao_vest,evasao_sisu,evasao_provare,evasao_total,perc_vest,perc_sisu,perc_provare,perc_total
2025,CMCR,Letras - Língua Portuguesa e Respetivas Literaturas e Língua Inglesa,12,6,2,0,0,0,0,0.0,0.0,0.0,0.0
2025,CMCR,Zootecnia,18,7,10,0,0,0,0,0.0,0.0,0.0,0.0
2025,CTOO,Superior de Tecnologia em Aquicultura,10,2,11,1,0,0,1,10.0,0.0,0.0,4.35
2025,CTOO,Ciências Econômicas,21,12,6,0,1,0,1,0.0,8.33,0.0,2.56
2025,CTOO,Ciências Sociais,5,6,15,0,0,1,1,0.0,0.0,6.67,3.85
2025,CTOO,Engenharia Química,16,2,6,0,1,5,6,0.0,50.0,83.33,25.0
2025,CTOO,Filosofia,12,4,16,1,0,1,2,8.33,0.0,6.25,6.25
2025,CTOO,Psicologia,21,14,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CTOO,Química,15,4,27,0,0,2,2,0.0,0.0,7.41,4.35
2025,CTOO,Secretariado Executivo Trilíngue,14,7,16,0,1,1,2,0.0,14.29,6.25,5.41
2025,CTOO,Serviço Social,19,8,11,1,0,2,3,5.26,0.0,18.18,7.89
